chrBase 	chr 	base 	strand 	coverage 	freqC 	freqT
chr1.762809 	chr1 	762809 	F 	49 	0 	100
chr1.762793 	chr1 	762793 	F 	49 	34.69 	65.31
chr1.762933 	chr1 	762933 	F 	30 	0 	100
chr1.762926 	chr1 	762926 	F 	30 	0 	100
chr1.762866 	chr1 	762866 	R 	39 	0 	100
chr1.762806 	chr1 	762806 	F 	49 	0 	100
chr1.762931 	chr1 	762931 	F 	30 	0 	100
chr1.762897 	chr1 	762897 	F 	30 	23.33 	76.67
chr1.768260 	chr1 	768260 	F 	32 	96.88 	3.12
chr1.793769 	chr1 	793769 	F 	40 	67.5 	32.5
chr1.799085 	chr1 	799085 	F 	38 	94.74 	5.26
chr1.799121 	chr1 	799121 	F 	38 	94.74 	5.26
chr1.805377 	chr1 	805377 	F 	54 	0 	100
chr1.805352 	chr1 	805352 	F 	54 	0 	100
chr1.805338 	chr1 	805338 	F 	54 	1.85 	98.15
chr1.805327 	chr1 	805327 	F 	54 	35.19 	64.81
chr1.805404 	chr1 	805404 	R 	61 	0 	100
chr1.805341 	chr1 	805341 	F 	54 	0 	100
chr1.805378 	chr1 	805378 	R 	59 	0 	100
chr1.805401 	chr1 	805401 	R 	62 	0 	100
chr1.805412 	chr1 	805412 	R 	62 	22.58 	77.42
chr1.805383 	chr1 	805383 	R 	62 	1.61 	98.39
chr1.821421 	chr1 	821421 	F 	35 	97.14 	2.86
chr1.833806 	chr1 	833806 	F 	28 	75 	25
chr1.834358 	chr1 	834358 	F 	71 	26.76 	73.24
chr1.834356 	chr1 	834356 	F 	70 	40 	60
chr1.834330 	chr1 	834330 	F 	70 	40 	60
chr1.834338 	chr1 	834338 	F 	71 	1.41 	98.59
chr1.838050 	chr1 	838050 	R 	69 	33.33 	66.67
chr1.838079 	chr1 	838079 	R 	68 	94.12 	5.88
chr1.838308 	chr1 	838308 	F 	19 	100 	0
chr1.838302 	chr1 	838302 	F 	19 	94.74 	5.26
chr1.838295 	chr1 	838295 	F 	19 	100 	0
chr1.839436 	chr1 	839436 	R 	25 	96 	4
chr1.839355 	chr1 	839355 	F 	31 	96.77 	3.23
chr1.839618 	chr1 	839618 	F 	14 	57.14 	42.86
chr1.839578 	chr1 	839578 	R 	26 	92.31 	7.69
chr1.839464 	chr1 	839464 	F 	16 	68.75 	31.25
chr1.839435 	chr1 	839435 	F 	16 	100 	0
chr1.839726 	chr1 	839726 	R 	30 	73.33 	26.67
chr1.839401 	chr1 	839401 	R 	25 	84 	16
chr1.839516 	chr1 	839516 	F 	35 	94.29 	5.71
chr1.839762 	chr1 	839762 	R 	30 	33.33 	66.67
chr1.839753 	chr1 	839753 	R 	30 	20 	80
chr1.839400 	chr1 	839400 	F 	32 	96.88 	3.12
chr1.839398 	chr1 	839398 	R 	25 	92 	8
chr1.839633 	chr1 	839633 	F 	14 	42.86 	57.14
chr1.839576 	chr1 	839576 	R 	26 	92.31 	7.69
chr1.839592 	chr1 	839592 	F 	14 	85.71 	14.29
chr1.839593 	chr1 	839593 	R 	26 	61.54 	38.46
chr1.839739 	chr1 	839739 	R 	30 	20 	80
chr1.839397 	chr1 	839397 	F 	32 	96.88 	3.12
chr1.840149 	chr1 	840149 	F 	40 	0 	100
chr1.840220 	chr1 	840220 	R 	43 	0 	100
chr1.840226 	chr1 	840226 	R 	43 	0 	100
chr1.840180 	chr1 	840180 	F 	40 	0 	100
chr1.840224 	chr1 	840224 	R 	43 	0 	100
chr1.840183 	chr1 	840183 	F 	40 	0 	100
chr1.840142 	chr1 	840142 	F 	40 	0 	100
chr1.840132 	chr1 	840132 	F 	40 	30 	70
chr1.840162 	chr1 	840162 	F 	40 	0 	100
chr1.840181 	chr1 	840181 	R 	15 	0 	100
chr1.840232 	chr1 	840232 	R 	43 	23.26 	76.74
chr1.840175 	chr1 	840175 	F 	40 	0 	100
chr1.840207 	chr1 	840207 	R 	42 	0 	100
chr1.840177 	chr1 	840177 	F 	40 	0 	100
chr1.840209 	chr1 	840209 	R 	43 	0 	100
chr1.840191 	chr1 	840191 	R 	42 	0 	100
chr1.840135 	chr1 	840135 	F 	40 	0 	100
chr1.840217 	chr1 	840217 	R 	43 	0 	100
chr1.840184 	chr1 	840184 	R 	39 	2.56 	97.44
chr1.840211 	chr1 	840211 	R 	43 	0 	100
chr1.840394 	chr1 	840394 	F 	34 	2.94 	97.06
chr1.840383 	chr1 	840383 	F 	34 	0 	100
chr1.840422 	chr1 	840422 	F 	33 	0 	100
chr1.840413 	chr1 	840413 	F 	34 	0 	100
chr1.840417 	chr1 	840417 	F 	34 	0 	100
chr1.840374 	chr1 	840374 	F 	34 	35.29 	64.71
chr1.840751 	chr1 	840751 	R 	34 	2.94 	97.06
chr1.840785 	chr1 	840785 	R 	34 	2.94 	97.06
chr1.840802 	chr1 	840802 	R 	34 	35.29 	64.71
chr1.841565 	chr1 	841565 	R 	128 	54.69 	45.31
chr1.842097 	chr1 	842097 	R 	12 	0 	100
chr1.842143 	chr1 	842143 	F 	50 	24 	76
chr1.842119 	chr1 	842119 	R 	12 	66.67 	33.33
chr1.842210 	chr1 	842210 	R 	40 	37.5 	62.5
chr1.842205 	chr1 	842205 	R 	40 	0 	100
chr1.842096 	chr1 	842096 	F 	10 	0 	100
chr1.842406 	chr1 	842406 	R 	67 	0 	100
chr1.842432 	chr1 	842432 	R 	68 	0 	100
chr1.842429 	chr1 	842429 	R 	68 	0 	100
chr1.842437 	chr1 	842437 	R 	68 	35.29 	64.71
chr1.843238 	chr1 	843238 	F 	17 	100 	0
chr1.843259 	chr1 	843259 	F 	17 	100 	0
chr1.843221 	chr1 	843221 	F 	17 	100 	0
chr1.843315 	chr1 	843315 	R 	25 	96 	4
chr1.843303 	chr1 	843303 	R 	25 	100 	0
chr1.845632 	chr1 	845632 	F 	35 	17.14 	82.86
chr1.845279 	chr1 	845279 	R 	14 	92.86 	7.14
chr1.845638 	chr1 	845638 	F 	35 	25.71 	74.29
chr1.845272 	chr1 	845272 	R 	14 	100 	0
chr1.845936 	chr1 	845936 	R 	13 	38.46 	61.54
chr1.845278 	chr1 	845278 	F 	13 	92.31 	7.69
chr1.845669 	chr1 	845669 	R 	35 	11.43 	88.57
chr1.845247 	chr1 	845247 	F 	13 	84.62 	15.38
chr1.845705 	chr1 	845705 	R 	34 	23.53 	76.47
chr1.845630 	chr1 	845630 	F 	35 	5.71 	94.29
chr1.845615 	chr1 	845615 	F 	35 	0 	100
chr1.845600 	chr1 	845600 	F 	36 	8.33 	91.67
chr1.845624 	chr1 	845624 	F 	35 	5.71 	94.29
chr1.845271 	chr1 	845271 	F 	13 	100 	0
chr1.845680 	chr1 	845680 	R 	35 	5.71 	94.29
chr1.845752 	chr1 	845752 	F 	41 	12.2 	87.8
chr1.845847 	chr1 	845847 	F 	47 	31.91 	68.09
chr1.845588 	chr1 	845588 	F 	36 	41.67 	58.33
chr1.845691 	chr1 	845691 	R 	35 	5.71 	94.29
chr1.845592 	chr1 	845592 	F 	36 	11.11 	88.89
chr1.845697 	chr1 	845697 	R 	35 	2.86 	97.14
chr1.845758 	chr1 	845758 	F 	41 	0 	100
chr1.845312 	chr1 	845312 	R 	14 	14.29 	85.71
chr1.845879 	chr1 	845879 	F 	47 	25.53 	74.47
chr1.845251 	chr1 	845251 	F 	13 	100 	0
chr1.845877 	chr1 	845877 	F 	47 	97.87 	2.13
chr1.845882 	chr1 	845882 	F 	46 	21.74 	78.26
chr1.845618 	chr1 	845618 	F 	34 	0 	100
chr1.845811 	chr1 	845811 	R 	26 	19.23 	80.77
chr1.845793 	chr1 	845793 	R 	26 	7.69 	92.31
chr1.845694 	chr1 	845694 	R 	34 	0 	100
chr1.845256 	chr1 	845256 	F 	13 	69.23 	30.77
chr1.845636 	chr1 	845636 	F 	35 	5.71 	94.29
chr1.845737 	chr1 	845737 	F 	41 	26.83 	73.17
chr1.846284 	chr1 	846284 	R 	20 	70 	30
chr1.846427 	chr1 	846427 	R 	49 	65.31 	34.69
chr1.846468 	chr1 	846468 	R 	49 	95.92 	4.08
chr1.846218 	chr1 	846218 	F 	14 	64.29 	35.71
chr1.847539 	chr1 	847539 	F 	23 	95.65 	4.35
chr1.847785 	chr1 	847785 	R 	66 	42.42 	57.58
chr1.847817 	chr1 	847817 	R 	65 	84.62 	15.38
chr1.847660 	chr1 	847660 	F 	25 	32 	68
chr1.848647 	chr1 	848647 	R 	29 	100 	0
chr1.848508 	chr1 	848508 	F 	18 	66.67 	33.33
chr1.848594 	chr1 	848594 	R 	17 	76.47 	23.53
chr1.848593 	chr1 	848593 	F 	36 	58.33 	41.67
chr1.848609 	chr1 	848609 	F 	36 	44.44 	55.56
chr1.848523 	chr1 	848523 	F 	18 	100 	0
chr1.848663 	chr1 	848663 	R 	29 	72.41 	27.59
chr1.848662 	chr1 	848662 	F 	31 	64.52 	35.48
chr1.848739 	chr1 	848739 	R 	22 	90.91 	9.09
chr1.849137 	chr1 	849137 	F 	38 	94.74 	5.26
chr1.849154 	chr1 	849154 	F 	38 	73.68 	26.32
chr1.849241 	chr1 	849241 	R 	81 	69.14 	30.86
chr1.849414 	chr1 	849414 	R 	17 	94.12 	5.88
chr1.849254 	chr1 	849254 	R 	82 	93.9 	6.1
chr1.849252 	chr1 	849252 	R 	82 	95.12 	4.88
chr1.849285 	chr1 	849285 	R 	81 	56.79 	43.21
chr1.850784 	chr1 	850784 	F 	120 	96.67 	3.33
chr1.850929 	chr1 	850929 	R 	42 	0 	100
chr1.850803 	chr1 	850803 	F 	121 	79.34 	20.66
chr1.850823 	chr1 	850823 	F 	121 	65.29 	34.71
chr1.850937 	chr1 	850937 	R 	42 	0 	100
chr1.850976 	chr1 	850976 	R 	42 	26.19 	73.81
chr1.851812 	chr1 	851812 	F 	29 	96.55 	3.45
chr1.852134 	chr1 	852134 	R 	19 	0 	100
chr1.852003 	chr1 	852003 	R 	12 	58.33 	41.67
chr1.852006 	chr1 	852006 	R 	12 	66.67 	33.33
chr1.852100 	chr1 	852100 	R 	19 	0 	100
chr1.851915 	chr1 	851915 	F 	21 	85.71 	14.29
chr1.852017 	chr1 	852017 	R 	12 	83.33 	16.67
chr1.852140 	chr1 	852140 	R 	19 	52.63 	47.37
chr1.853219 	chr1 	853219 	R 	86 	43.02 	56.98
chr1.853217 	chr1 	853217 	R 	86 	73.26 	26.74
chr1.853267 	chr1 	853267 	R 	85 	89.41 	10.59
chr1.853082 	chr1 	853082 	F 	31 	96.77 	3.23
chr1.853105 	chr1 	853105 	F 	31 	90.32 	9.68
chr1.853129 	chr1 	853129 	F 	31 	100 	0
chr1.853797 	chr1 	853797 	R 	97 	93.81 	6.19
chr1.853651 	chr1 	853651 	F 	30 	66.67 	33.33
chr1.853675 	chr1 	853675 	F 	32 	100 	0
chr1.853810 	chr1 	853810 	R 	97 	96.91 	3.09
chr1.853681 	chr1 	853681 	F 	32 	59.38 	40.62
chr1.853826 	chr1 	853826 	R 	97 	83.51 	16.49
chr1.853821 	chr1 	853821 	R 	96 	85.42 	14.58
chr1.853795 	chr1 	853795 	R 	97 	90.72 	9.28
chr1.854740 	chr1 	854740 	R 	73 	89.04 	10.96
chr1.854711 	chr1 	854711 	R 	73 	87.67 	12.33
chr1.855210 	chr1 	855210 	F 	51 	84.31 	15.69
chr1.855233 	chr1 	855233 	F 	51 	86.27 	13.73
chr1.856300 	chr1 	856300 	R 	202 	36.63 	63.37
chr1.856502 	chr1 	856502 	F 	60 	0 	100
chr1.856466 	chr1 	856466 	F 	60 	0 	100
chr1.856351 	chr1 	856351 	F 	33 	9.09 	90.91
chr1.856459 	chr1 	856459 	F 	60 	35 	65
chr1.856262 	chr1 	856262 	R 	204 	0.49 	99.51
chr1.855996 	chr1 	855996 	F 	93 	4.3 	95.7
chr1.856472 	chr1 	856472 	F 	56 	0 	100
chr1.856644 	chr1 	856644 	R 	92 	29.35 	70.65
chr1.855968 	chr1 	855968 	F 	93 	61.29 	38.71
chr1.856479 	chr1 	856479 	F 	60 	0 	100
chr1.856620 	chr1 	856620 	R 	90 	0 	100
chr1.856492 	chr1 	856492 	F 	60 	0 	100
chr1.856120 	chr1 	856120 	F 	14 	35.71 	64.29
chr1.856617 	chr1 	856617 	R 	90 	0 	100
chr1.859256 	chr1 	859256 	F 	15 	0 	100
chr1.859252 	chr1 	859252 	F 	15 	0 	100
chr1.859219 	chr1 	859219 	F 	15 	0 	100
chr1.859239 	chr1 	859239 	F 	15 	0 	100
chr1.859091 	chr1 	859091 	F 	32 	0 	100
chr1.859264 	chr1 	859264 	F 	28 	14.29 	85.71
chr1.859146 	chr1 	859146 	R 	40 	2.5 	97.5
chr1.859118 	chr1 	859118 	F 	33 	0 	100
chr1.859303 	chr1 	859303 	R 	23 	0 	100
chr1.859223 	chr1 	859223 	F 	15 	0 	100
chr1.859142 	chr1 	859142 	R 	40 	2.5 	97.5
chr1.859330 	chr1 	859330 	R 	23 	34.78 	65.22
chr1.859308 	chr1 	859308 	F 	26 	0 	100
chr1.859122 	chr1 	859122 	F 	33 	0 	100
chr1.859306 	chr1 	859306 	R 	23 	0 	100
chr1.859305 	chr1 	859305 	F 	26 	0 	100
chr1.859163 	chr1 	859163 	R 	40 	2.5 	97.5
chr1.859093 	chr1 	859093 	F 	33 	0 	100
chr1.859270 	chr1 	859270 	F 	28 	0 	100
chr1.859297 	chr1 	859297 	R 	23 	0 	100
chr1.859120 	chr1 	859120 	F 	33 	0 	100
chr1.859302 	chr1 	859302 	F 	28 	0 	100
chr1.859299 	chr1 	859299 	F 	25 	0 	100
chr1.859086 	chr1 	859086 	F 	33 	24.24 	75.76
chr1.859294 	chr1 	859294 	R 	23 	0 	100
chr1.859249 	chr1 	859249 	F 	15 	0 	100
chr1.859293 	chr1 	859293 	F 	28 	0 	100
chr1.859214 	chr1 	859214 	F 	15 	0 	100
chr1.859123 	chr1 	859123 	R 	40 	5 	95
chr1.859228 	chr1 	859228 	F 	15 	0 	100
chr1.859309 	chr1 	859309 	R 	23 	0 	100
chr1.859237 	chr1 	859237 	F 	15 	0 	100
chr1.859296 	chr1 	859296 	F 	28 	0 	100
chr1.859247 	chr1 	859247 	F 	15 	0 	100
chr1.859327 	chr1 	859327 	R 	23 	0 	100
chr1.859174 	chr1 	859174 	R 	40 	37.5 	62.5
chr1.859300 	chr1 	859300 	R 	23 	0 	100
chr1.859156 	chr1 	859156 	R 	40 	2.5 	97.5
chr1.859205 	chr1 	859205 	F 	15 	53.33 	46.67
chr1.860092 	chr1 	860092 	R 	46 	2.17 	97.83
chr1.860159 	chr1 	860159 	F 	95 	3.16 	96.84
chr1.860131 	chr1 	860131 	F 	95 	2.11 	97.89
chr1.860022 	chr1 	860022 	F 	24 	0 	100
chr1.860005 	chr1 	860005 	F 	24 	0 	100
chr1.860108 	chr1 	860108 	R 	47 	2.13 	97.87
chr1.859837 	chr1 	859837 	F 	49 	20.41 	79.59
chr1.859880 	chr1 	859880 	R 	44 	0 	100
chr1.859870 	chr1 	859870 	F 	49 	0 	100
chr1.860144 	chr1 	860144 	F 	95 	1.05 	98.95
chr1.860024 	chr1 	860024 	F 	24 	0 	100
chr1.860078 	chr1 	860078 	R 	46 	0 	100
chr1.860088 	chr1 	860088 	R 	47 	0 	100
chr1.860119 	chr1 	860119 	F 	93 	35.48 	64.52
chr1.860114 	chr1 	860114 	R 	47 	0 	100
chr1.859982 	chr1 	859982 	F 	24 	33.33 	66.67
chr1.859890 	chr1 	859890 	R 	44 	0 	100
chr1.860013 	chr1 	860013 	F 	24 	0 	100
chr1.859879 	chr1 	859879 	F 	49 	0 	100
chr1.860099 	chr1 	860099 	R 	47 	2.13 	97.87
chr1.859842 	chr1 	859842 	F 	48 	0 	100
chr1.860020 	chr1 	860020 	F 	24 	0 	100
chr1.859904 	chr1 	859904 	R 	44 	0 	100
chr1.859844 	chr1 	859844 	F 	48 	0 	100
chr1.859898 	chr1 	859898 	R 	44 	0 	100
chr1.860120 	chr1 	860120 	R 	47 	34.04 	65.96
chr1.860112 	chr1 	860112 	R 	47 	2.13 	97.87
chr1.859871 	chr1 	859871 	R 	44 	0 	100
chr1.860147 	chr1 	860147 	F 	95 	2.11 	97.89
chr1.859907 	chr1 	859907 	R 	44 	0 	100
chr1.860152 	chr1 	860152 	F 	95 	4.21 	95.79
chr1.859892 	chr1 	859892 	R 	43 	0 	100
chr1.859988 	chr1 	859988 	F 	24 	0 	100
chr1.860008 	chr1 	860008 	F 	24 	4.17 	95.83
chr1.860106 	chr1 	860106 	R 	47 	2.13 	97.87
chr1.860334 	chr1 	860334 	R 	127 	0.79 	99.21
chr1.860355 	chr1 	860355 	R 	130 	26.92 	73.08
chr1.860448 	chr1 	860448 	F 	15 	13.33 	86.67
chr1.860410 	chr1 	860410 	F 	15 	40 	60
chr1.860311 	chr1 	860311 	R 	129 	1.55 	98.45
chr1.860415 	chr1 	860415 	F 	15 	0 	100
chr1.860446 	chr1 	860446 	F 	15 	0 	100
chr1.860337 	chr1 	860337 	R 	127 	0 	100
chr1.860460 	chr1 	860460 	F 	15 	0 	100
chr1.860349 	chr1 	860349 	R 	130 	0.77 	99.23
chr1.860427 	chr1 	860427 	F 	15 	0 	100
chr1.860320 	chr1 	860320 	R 	130 	1.54 	98.46
chr1.860419 	chr1 	860419 	F 	15 	0 	100
chr1.860870 	chr1 	860870 	F 	45 	2.22 	97.78
chr1.860957 	chr1 	860957 	R 	59 	1.69 	98.31
chr1.860738 	chr1 	860738 	F 	27 	0 	100
chr1.860875 	chr1 	860875 	F 	45 	2.22 	97.78
chr1.860840 	chr1 	860840 	F 	44 	27.27 	72.73
chr1.860713 	chr1 	860713 	F 	29 	6.9 	93.1
chr1.860941 	chr1 	860941 	R 	59 	5.08 	94.92
chr1.860978 	chr1 	860978 	R 	59 	37.29 	62.71
chr1.860736 	chr1 	860736 	F 	28 	0 	100
chr1.860733 	chr1 	860733 	F 	28 	3.57 	96.43
chr1.860709 	chr1 	860709 	F 	29 	20.69 	79.31
chr1.860746 	chr1 	860746 	F 	28 	0 	100
chr1.860863 	chr1 	860863 	F 	45 	2.22 	97.78
chr1.860744 	chr1 	860744 	F 	25 	0 	100
chr1.860716 	chr1 	860716 	F 	28 	0 	100
chr1.860748 	chr1 	860748 	F 	28 	3.57 	96.43
chr1.860939 	chr1 	860939 	R 	59 	25.42 	74.58
chr1.860750 	chr1 	860750 	F 	23 	30.43 	69.57
chr1.860856 	chr1 	860856 	F 	45 	0 	100
chr1.860966 	chr1 	860966 	R 	59 	5.08 	94.92
chr1.860705 	chr1 	860705 	F 	29 	3.45 	96.55
chr1.860873 	chr1 	860873 	F 	45 	0 	100
chr1.860963 	chr1 	860963 	R 	58 	1.72 	98.28
chr1.860960 	chr1 	860960 	R 	59 	0 	100
chr1.860728 	chr1 	860728 	F 	28 	0 	100
chr1.860711 	chr1 	860711 	F 	29 	13.79 	86.21
chr1.860699 	chr1 	860699 	F 	29 	51.72 	48.28
chr1.860948 	chr1 	860948 	R 	59 	1.69 	98.31
chr1.860973 	chr1 	860973 	R 	58 	5.17 	94.83
chr1.861402 	chr1 	861402 	F 	23 	0 	100
chr1.861135 	chr1 	861135 	F 	50 	4 	96
chr1.861354 	chr1 	861354 	R 	78 	1.28 	98.72
chr1.861250 	chr1 	861250 	F 	78 	35.9 	64.1
chr1.861218 	chr1 	861218 	F 	77 	31.17 	68.83
chr1.861389 	chr1 	861389 	F 	23 	17.39 	82.61
chr1.861318 	chr1 	861318 	R 	78 	3.85 	96.15
chr1.861369 	chr1 	861369 	R 	77 	31.17 	68.83
chr1.861361 	chr1 	861361 	R 	78 	1.28 	98.72
chr1.861241 	chr1 	861241 	F 	78 	56.41 	43.59
chr1.861141 	chr1 	861141 	F 	49 	0 	100
chr1.861260 	chr1 	861260 	F 	78 	7.69 	92.31
chr1.861139 	chr1 	861139 	F 	50 	4 	96
chr1.861132 	chr1 	861132 	F 	50 	2 	98
chr1.861265 	chr1 	861265 	F 	78 	8.97 	91.03
chr1.861438 	chr1 	861438 	F 	23 	39.13 	60.87
chr1.861252 	chr1 	861252 	F 	78 	51.28 	48.72
chr1.861099 	chr1 	861099 	F 	49 	28.57 	71.43
chr1.861409 	chr1 	861409 	F 	23 	4.35 	95.65
chr1.863496 	chr1 	863496 	R 	16 	100 	0
chr1.863887 	chr1 	863887 	R 	11 	100 	0
chr1.864130 	chr1 	864130 	F 	16 	100 	0
chr1.863977 	chr1 	863977 	F 	66 	95.45 	4.55
chr1.863967 	chr1 	863967 	F 	66 	83.33 	16.67
chr1.863942 	chr1 	863942 	F 	66 	98.48 	1.52
chr1.863862 	chr1 	863862 	R 	11 	63.64 	36.36
chr1.864131 	chr1 	864131 	R 	32 	100 	0
chr1.864116 	chr1 	864116 	R 	32 	96.88 	3.12
chr1.864156 	chr1 	864156 	F 	16 	93.75 	6.25
chr1.864091 	chr1 	864091 	R 	32 	100 	0
chr1.864143 	chr1 	864143 	F 	16 	100 	0
chr1.864313 	chr1 	864313 	F 	49 	55.1 	44.9
chr1.864528 	chr1 	864528 	R 	25 	40 	60
chr1.864803 	chr1 	864803 	F 	32 	96.88 	3.12
chr1.864918 	chr1 	864918 	F 	46 	97.83 	2.17
chr1.864819 	chr1 	864819 	F 	32 	40.62 	59.38
chr1.864893 	chr1 	864893 	F 	46 	86.96 	13.04
chr1.864928 	chr1 	864928 	F 	46 	89.13 	10.87
chr1.864888 	chr1 	864888 	F 	46 	76.09 	23.91
chr1.864880 	chr1 	864880 	R 	31 	45.16 	54.84
chr1.864879 	chr1 	864879 	F 	45 	82.22 	17.78
chr1.865745 	chr1 	865745 	F 	22 	95.45 	4.55
chr1.865733 	chr1 	865733 	F 	22 	90.91 	9.09
chr1.865808 	chr1 	865808 	R 	12 	100 	0
chr1.865601 	chr1 	865601 	F 	70 	98.57 	1.43
chr1.865539 	chr1 	865539 	R 	22 	50 	50
chr1.865583 	chr1 	865583 	F 	71 	100 	0
chr1.865624 	chr1 	865624 	F 	70 	87.14 	12.86
chr1.866012 	chr1 	866012 	R 	38 	94.74 	5.26
chr1.865987 	chr1 	865987 	R 	38 	97.37 	2.63
chr1.865990 	chr1 	865990 	R 	38 	92.11 	7.89
chr1.866740 	chr1 	866740 	R 	26 	26.92 	73.08
chr1.866640 	chr1 	866640 	F 	51 	80.39 	19.61
chr1.866707 	chr1 	866707 	R 	26 	73.08 	26.92
chr1.867913 	chr1 	867913 	F 	43 	58.14 	41.86
chr1.867891 	chr1 	867891 	F 	43 	86.05 	13.95
chr1.867939 	chr1 	867939 	R 	26 	92.31 	7.69
chr1.867870 	chr1 	867870 	F 	43 	100 	0
chr1.867914 	chr1 	867914 	R 	26 	53.85 	46.15
chr1.867892 	chr1 	867892 	R 	26 	73.08 	26.92
chr1.869170 	chr1 	869170 	F 	30 	16.67 	83.33
chr1.869150 	chr1 	869150 	F 	30 	60 	40
chr1.870425 	chr1 	870425 	F 	64 	37.5 	62.5
chr1.870810 	chr1 	870810 	F 	28 	46.43 	53.57
chr1.870660 	chr1 	870660 	F 	128 	3.91 	96.09
chr1.870573 	chr1 	870573 	F 	38 	42.11 	57.89
chr1.870637 	chr1 	870637 	F 	128 	20.31 	79.69
chr1.870443 	chr1 	870443 	F 	64 	3.12 	96.88
chr1.870599 	chr1 	870599 	F 	39 	2.56 	97.44
chr1.870600 	chr1 	870600 	R 	32 	0 	100
chr1.870620 	chr1 	870620 	R 	32 	3.12 	96.88
chr1.870584 	chr1 	870584 	F 	39 	0 	100
chr1.870822 	chr1 	870822 	F 	28 	0 	100
chr1.870651 	chr1 	870651 	F 	128 	1.56 	98.44
chr1.870459 	chr1 	870459 	F 	64 	3.12 	96.88
chr1.870803 	chr1 	870803 	R 	98 	52.04 	47.96
chr1.870638 	chr1 	870638 	R 	32 	31.25 	68.75
chr1.870619 	chr1 	870619 	F 	39 	2.56 	97.44
chr1.870629 	chr1 	870629 	R 	32 	3.12 	96.88
chr1.870792 	chr1 	870792 	R 	98 	9.18 	90.82
chr1.870658 	chr1 	870658 	F 	127 	6.3 	93.7
chr1.870643 	chr1 	870643 	F 	128 	0.78 	99.22
chr1.871308 	chr1 	871308 	F 	85 	0 	100
chr1.871302 	chr1 	871302 	F 	85 	0 	100
chr1.871109 	chr1 	871109 	R 	54 	3.7 	96.3
chr1.871229 	chr1 	871229 	R 	44 	0 	100
chr1.871137 	chr1 	871137 	R 	54 	37.04 	62.96
chr1.871121 	chr1 	871121 	R 	54 	3.7 	96.3
chr1.871276 	chr1 	871276 	R 	44 	34.09 	65.91
chr1.871268 	chr1 	871268 	R 	44 	0 	100
chr1.871275 	chr1 	871275 	F 	85 	42.35 	57.65
chr1.871273 	chr1 	871273 	R 	44 	0 	100
