chrBase 	chr 	base 	strand 	coverage 	freqC 	freqT
chr1.763091 	chr1 	763091 	R 	46 	2.17 	97.83
chr1.763128 	chr1 	763128 	R 	47 	2.13 	97.87
chr1.763108 	chr1 	763108 	R 	47 	4.26 	95.74
chr1.763117 	chr1 	763117 	R 	46 	0 	100
chr1.763130 	chr1 	763130 	R 	44 	2.27 	97.73
chr1.763112 	chr1 	763112 	R 	48 	8.33 	91.67
chr1.763167 	chr1 	763167 	R 	48 	2.08 	97.92
chr1.763088 	chr1 	763088 	R 	46 	2.17 	97.83
chr1.763183 	chr1 	763183 	R 	48 	52.08 	47.92
chr1.764594 	chr1 	764594 	F 	19 	100 	0
chr1.764502 	chr1 	764502 	F 	20 	100 	0
chr1.768382 	chr1 	768382 	R 	13 	92.31 	7.69
chr1.768326 	chr1 	768326 	R 	12 	66.67 	33.33
chr1.768403 	chr1 	768403 	R 	13 	100 	0
chr1.768325 	chr1 	768325 	F 	22 	86.36 	13.64
chr1.768260 	chr1 	768260 	F 	22 	100 	0
chr1.787627 	chr1 	787627 	R 	13 	100 	0
chr1.787684 	chr1 	787684 	R 	13 	100 	0
chr1.787680 	chr1 	787680 	R 	14 	85.71 	14.29
chr1.787644 	chr1 	787644 	R 	14 	100 	0
chr1.793867 	chr1 	793867 	F 	22 	100 	0
chr1.793832 	chr1 	793832 	F 	23 	26.09 	73.91
chr1.793920 	chr1 	793920 	F 	21 	23.81 	76.19
chr1.793883 	chr1 	793883 	F 	21 	100 	0
chr1.793952 	chr1 	793952 	F 	21 	23.81 	76.19
chr1.793769 	chr1 	793769 	F 	23 	78.26 	21.74
chr1.793962 	chr1 	793962 	F 	21 	28.57 	71.43
chr1.793894 	chr1 	793894 	F 	21 	57.14 	42.86
chr1.799085 	chr1 	799085 	F 	15 	100 	0
chr1.799121 	chr1 	799121 	F 	15 	93.33 	6.67
chr1.821421 	chr1 	821421 	F 	10 	100 	0
chr1.830627 	chr1 	830627 	R 	12 	100 	0
chr1.830585 	chr1 	830585 	R 	10 	100 	0
chr1.830684 	chr1 	830684 	R 	12 	100 	0
chr1.833907 	chr1 	833907 	R 	25 	12 	88
chr1.833897 	chr1 	833897 	R 	25 	12 	88
chr1.833869 	chr1 	833869 	R 	24 	16.67 	83.33
chr1.833868 	chr1 	833868 	F 	19 	15.79 	84.21
chr1.833806 	chr1 	833806 	F 	19 	89.47 	10.53
chr1.833924 	chr1 	833924 	R 	25 	8 	92
chr1.833896 	chr1 	833896 	F 	17 	17.65 	82.35
chr1.833951 	chr1 	833951 	R 	25 	72 	28
chr1.834468 	chr1 	834468 	R 	10 	10 	90
chr1.834493 	chr1 	834493 	R 	10 	100 	0
chr1.834470 	chr1 	834470 	R 	10 	100 	0
chr1.834358 	chr1 	834358 	F 	17 	47.06 	52.94
chr1.834356 	chr1 	834356 	F 	15 	80 	20
chr1.834476 	chr1 	834476 	R 	10 	90 	10
chr1.834330 	chr1 	834330 	F 	17 	76.47 	23.53
chr1.834338 	chr1 	834338 	F 	17 	58.82 	41.18
chr1.834430 	chr1 	834430 	R 	10 	100 	0
chr1.834500 	chr1 	834500 	R 	10 	100 	0
chr1.837929 	chr1 	837929 	F 	11 	90.91 	9.09
chr1.837891 	chr1 	837891 	F 	11 	100 	0
chr1.837885 	chr1 	837885 	F 	11 	90.91 	9.09
chr1.840176 	chr1 	840176 	R 	26 	0 	100
chr1.840149 	chr1 	840149 	F 	25 	0 	100
chr1.840190 	chr1 	840190 	F 	24 	0 	100
chr1.840118 	chr1 	840118 	R 	32 	0 	100
chr1.840220 	chr1 	840220 	R 	30 	0 	100
chr1.840163 	chr1 	840163 	R 	24 	0 	100
chr1.839669 	chr1 	839669 	R 	19 	31.58 	68.42
chr1.840225 	chr1 	840225 	F 	21 	0 	100
chr1.840143 	chr1 	840143 	R 	24 	0 	100
chr1.839909 	chr1 	839909 	F 	23 	0 	100
chr1.839871 	chr1 	839871 	F 	30 	0 	100
chr1.840224 	chr1 	840224 	R 	30 	0 	100
chr1.839726 	chr1 	839726 	R 	20 	15 	85
chr1.840183 	chr1 	840183 	F 	24 	0 	100
chr1.840132 	chr1 	840132 	F 	25 	60 	40
chr1.840162 	chr1 	840162 	F 	17 	0 	100
chr1.840210 	chr1 	840210 	F 	22 	0 	100
chr1.839867 	chr1 	839867 	F 	30 	0 	100
chr1.840181 	chr1 	840181 	R 	28 	0 	100
chr1.839753 	chr1 	839753 	R 	21 	19.05 	80.95
chr1.840129 	chr1 	840129 	R 	32 	0 	100
chr1.840150 	chr1 	840150 	R 	27 	0 	100
chr1.840206 	chr1 	840206 	F 	22 	0 	100
chr1.840175 	chr1 	840175 	F 	24 	0 	100
chr1.839855 	chr1 	839855 	F 	29 	0 	100
chr1.840207 	chr1 	840207 	R 	28 	0 	100
chr1.840058 	chr1 	840058 	R 	22 	0 	100
chr1.840090 	chr1 	840090 	R 	33 	0 	100
chr1.839937 	chr1 	839937 	F 	24 	0 	100
chr1.840124 	chr1 	840124 	R 	33 	0 	100
chr1.839877 	chr1 	839877 	F 	28 	0 	100
chr1.839893 	chr1 	839893 	F 	27 	0 	100
chr1.840209 	chr1 	840209 	R 	29 	0 	100
chr1.840135 	chr1 	840135 	F 	25 	0 	100
chr1.840070 	chr1 	840070 	R 	31 	0 	100
chr1.839739 	chr1 	839739 	R 	20 	10 	90
chr1.840223 	chr1 	840223 	F 	21 	4.76 	95.24
chr1.840080 	chr1 	840080 	R 	13 	7.69 	92.31
chr1.839927 	chr1 	839927 	F 	26 	0 	100
chr1.840211 	chr1 	840211 	R 	30 	0 	100
chr1.840096 	chr1 	840096 	R 	30 	3.33 	96.67
chr1.840108 	chr1 	840108 	R 	34 	5.88 	94.12
chr1.839847 	chr1 	839847 	F 	30 	56.67 	43.33
chr1.840219 	chr1 	840219 	F 	21 	0 	100
chr1.840136 	chr1 	840136 	R 	22 	0 	100
chr1.840074 	chr1 	840074 	R 	32 	0 	100
chr1.840226 	chr1 	840226 	R 	29 	0 	100
chr1.840180 	chr1 	840180 	F 	24 	0 	100
chr1.840086 	chr1 	840086 	R 	33 	0 	100
chr1.840052 	chr1 	840052 	R 	24 	0 	100
chr1.840216 	chr1 	840216 	F 	22 	0 	100
chr1.840142 	chr1 	840142 	F 	25 	0 	100
chr1.839905 	chr1 	839905 	F 	28 	0 	100
chr1.840133 	chr1 	840133 	R 	50 	56 	44
chr1.840208 	chr1 	840208 	F 	21 	0 	100
chr1.839762 	chr1 	839762 	R 	21 	28.57 	71.43
chr1.840232 	chr1 	840232 	R 	30 	50 	50
chr1.840099 	chr1 	840099 	R 	27 	3.7 	96.3
chr1.839915 	chr1 	839915 	F 	24 	0 	100
chr1.839858 	chr1 	839858 	F 	29 	0 	100
chr1.839702 	chr1 	839702 	R 	21 	14.29 	85.71
chr1.840048 	chr1 	840048 	R 	28 	0 	100
chr1.840177 	chr1 	840177 	F 	24 	0 	100
chr1.840112 	chr1 	840112 	R 	33 	0 	100
chr1.840191 	chr1 	840191 	R 	28 	0 	100
chr1.840217 	chr1 	840217 	R 	30 	0 	100
chr1.839696 	chr1 	839696 	R 	20 	10 	90
chr1.839931 	chr1 	839931 	F 	18 	0 	100
chr1.840184 	chr1 	840184 	R 	24 	0 	100
chr1.840178 	chr1 	840178 	R 	27 	0 	100
chr1.839873 	chr1 	839873 	F 	30 	0 	100
chr1.840054 	chr1 	840054 	R 	26 	0 	100
chr1.840231 	chr1 	840231 	F 	18 	94.44 	5.56
chr1.839889 	chr1 	839889 	F 	28 	0 	100
chr1.840711 	chr1 	840711 	R 	13 	0 	100
chr1.840724 	chr1 	840724 	R 	12 	0 	100
chr1.840383 	chr1 	840383 	F 	24 	0 	100
chr1.840479 	chr1 	840479 	R 	19 	0 	100
chr1.840505 	chr1 	840505 	R 	10 	0 	100
chr1.840739 	chr1 	840739 	R 	13 	0 	100
chr1.840441 	chr1 	840441 	F 	17 	0 	100
chr1.840469 	chr1 	840469 	F 	14 	0 	100
chr1.840450 	chr1 	840450 	F 	14 	0 	100
chr1.840470 	chr1 	840470 	R 	19 	0 	100
chr1.840751 	chr1 	840751 	R 	13 	0 	100
chr1.840530 	chr1 	840530 	R 	19 	42.11 	57.89
chr1.840445 	chr1 	840445 	F 	23 	0 	100
chr1.840451 	chr1 	840451 	R 	19 	0 	100
chr1.840442 	chr1 	840442 	R 	19 	0 	100
chr1.840394 	chr1 	840394 	F 	22 	0 	100
chr1.840785 	chr1 	840785 	R 	13 	0 	100
chr1.840802 	chr1 	840802 	R 	13 	69.23 	30.77
chr1.840422 	chr1 	840422 	F 	21 	0 	100
chr1.840446 	chr1 	840446 	R 	19 	0 	100
chr1.840474 	chr1 	840474 	R 	18 	0 	100
chr1.840726 	chr1 	840726 	R 	13 	0 	100
chr1.840734 	chr1 	840734 	R 	13 	0 	100
chr1.840515 	chr1 	840515 	R 	19 	0 	100
chr1.840749 	chr1 	840749 	R 	13 	0 	100
chr1.840473 	chr1 	840473 	F 	17 	0 	100
chr1.840413 	chr1 	840413 	F 	22 	0 	100
chr1.840417 	chr1 	840417 	F 	25 	0 	100
chr1.840374 	chr1 	840374 	F 	30 	30 	70
chr1.840513 	chr1 	840513 	R 	19 	0 	100
chr1.841477 	chr1 	841477 	R 	27 	81.48 	18.52
chr1.841565 	chr1 	841565 	R 	31 	93.55 	6.45
chr1.842363 	chr1 	842363 	R 	23 	0 	100
chr1.842432 	chr1 	842432 	R 	26 	3.85 	96.15
chr1.842429 	chr1 	842429 	R 	24 	4.17 	95.83
chr1.842437 	chr1 	842437 	R 	26 	50 	50
chr1.843238 	chr1 	843238 	F 	23 	95.65 	4.35
chr1.843303 	chr1 	843303 	R 	10 	90 	10
chr1.843302 	chr1 	843302 	F 	23 	100 	0
chr1.843259 	chr1 	843259 	F 	23 	95.65 	4.35
chr1.843221 	chr1 	843221 	F 	23 	100 	0
chr1.843315 	chr1 	843315 	R 	10 	90 	10
chr1.843314 	chr1 	843314 	F 	20 	100 	0
chr1.845555 	chr1 	845555 	R 	31 	0 	100
chr1.845632 	chr1 	845632 	F 	44 	6.82 	93.18
chr1.845546 	chr1 	845546 	R 	31 	0 	100
chr1.845469 	chr1 	845469 	F 	20 	15 	85
chr1.845638 	chr1 	845638 	F 	45 	4.44 	95.56
chr1.845668 	chr1 	845668 	F 	44 	4.55 	95.45
chr1.845551 	chr1 	845551 	R 	31 	6.45 	93.55
chr1.845669 	chr1 	845669 	R 	48 	2.08 	97.92
chr1.845464 	chr1 	845464 	F 	20 	5 	95
chr1.845552 	chr1 	845552 	F 	14 	7.14 	92.86
chr1.845462 	chr1 	845462 	F 	20 	0 	100
chr1.845637 	chr1 	845637 	R 	15 	6.67 	93.33
chr1.845487 	chr1 	845487 	R 	30 	10 	90
chr1.845562 	chr1 	845562 	R 	30 	56.67 	43.33
chr1.845705 	chr1 	845705 	R 	48 	52.08 	47.92
chr1.845630 	chr1 	845630 	F 	45 	2.22 	97.78
chr1.845615 	chr1 	845615 	F 	45 	2.22 	97.78
chr1.845489 	chr1 	845489 	F 	17 	0 	100
chr1.845600 	chr1 	845600 	F 	44 	2.27 	97.73
chr1.845522 	chr1 	845522 	R 	30 	3.33 	96.67
chr1.845520 	chr1 	845520 	R 	30 	0 	100
chr1.845624 	chr1 	845624 	F 	45 	0 	100
chr1.845616 	chr1 	845616 	R 	27 	0 	100
chr1.845680 	chr1 	845680 	R 	47 	0 	100
chr1.845458 	chr1 	845458 	F 	20 	45 	55
chr1.845548 	chr1 	845548 	F 	11 	9.09 	90.91
chr1.845550 	chr1 	845550 	F 	11 	0 	100
chr1.845470 	chr1 	845470 	R 	22 	9.09 	90.91
chr1.845486 	chr1 	845486 	F 	20 	15 	85
chr1.845514 	chr1 	845514 	R 	31 	0 	100
chr1.845588 	chr1 	845588 	F 	44 	56.82 	43.18
chr1.845691 	chr1 	845691 	R 	48 	0 	100
chr1.845490 	chr1 	845490 	R 	31 	12.9 	87.1
chr1.845631 	chr1 	845631 	R 	11 	9.09 	90.91
chr1.845592 	chr1 	845592 	F 	45 	2.22 	97.78
chr1.845697 	chr1 	845697 	R 	47 	0 	100
chr1.845554 	chr1 	845554 	F 	12 	0 	100
chr1.845679 	chr1 	845679 	F 	43 	6.98 	93.02
chr1.845529 	chr1 	845529 	R 	31 	0 	100
chr1.845619 	chr1 	845619 	R 	25 	0 	100
chr1.845528 	chr1 	845528 	F 	17 	0 	100
chr1.845625 	chr1 	845625 	R 	32 	0 	100
chr1.845618 	chr1 	845618 	F 	41 	2.44 	97.56
chr1.845694 	chr1 	845694 	R 	45 	0 	100
chr1.845513 	chr1 	845513 	F 	11 	0 	100
chr1.845521 	chr1 	845521 	F 	10 	20 	80
chr1.845534 	chr1 	845534 	F 	16 	0 	100
chr1.845636 	chr1 	845636 	F 	45 	4.44 	95.56
chr1.845639 	chr1 	845639 	R 	37 	2.7 	97.3
chr1.845467 	chr1 	845467 	F 	20 	25 	75
chr1.845545 	chr1 	845545 	F 	17 	0 	100
chr1.845553 	chr1 	845553 	R 	31 	0 	100
chr1.845535 	chr1 	845535 	R 	31 	0 	100
chr1.845549 	chr1 	845549 	R 	30 	6.67 	93.33
chr1.846397 	chr1 	846397 	R 	23 	95.65 	4.35
chr1.846427 	chr1 	846427 	R 	23 	100 	0
chr1.846468 	chr1 	846468 	R 	23 	100 	0
chr1.846283 	chr1 	846283 	F 	10 	100 	0
chr1.847539 	chr1 	847539 	F 	22 	100 	0
chr1.847661 	chr1 	847661 	R 	13 	23.08 	76.92
chr1.847785 	chr1 	847785 	R 	15 	86.67 	13.33
chr1.847817 	chr1 	847817 	R 	15 	100 	0
chr1.847660 	chr1 	847660 	F 	11 	63.64 	36.36
chr1.849137 	chr1 	849137 	F 	17 	100 	0
chr1.849208 	chr1 	849208 	R 	33 	69.7 	30.3
chr1.849154 	chr1 	849154 	F 	17 	94.12 	5.88
chr1.849241 	chr1 	849241 	R 	36 	77.78 	22.22
chr1.849414 	chr1 	849414 	R 	21 	100 	0
chr1.849254 	chr1 	849254 	R 	35 	85.71 	14.29
chr1.849252 	chr1 	849252 	R 	35 	80 	20
chr1.849285 	chr1 	849285 	R 	36 	94.44 	5.56
chr1.849207 	chr1 	849207 	F 	17 	76.47 	23.53
chr1.850784 	chr1 	850784 	F 	24 	100 	0
chr1.850870 	chr1 	850870 	F 	21 	85.71 	14.29
chr1.850836 	chr1 	850836 	F 	23 	95.65 	4.35
chr1.850803 	chr1 	850803 	F 	24 	100 	0
chr1.850823 	chr1 	850823 	F 	24 	100 	0
chr1.851812 	chr1 	851812 	F 	20 	90 	10
chr1.852002 	chr1 	852002 	F 	26 	69.23 	30.77
chr1.852003 	chr1 	852003 	R 	18 	61.11 	38.89
chr1.852006 	chr1 	852006 	R 	19 	42.11 	57.89
chr1.851915 	chr1 	851915 	F 	29 	100 	0
chr1.852017 	chr1 	852017 	R 	19 	84.21 	15.79
chr1.852005 	chr1 	852005 	F 	28 	67.86 	32.14
chr1.853219 	chr1 	853219 	R 	10 	90 	10
chr1.853199 	chr1 	853199 	R 	10 	100 	0
chr1.853217 	chr1 	853217 	R 	10 	100 	0
chr1.853267 	chr1 	853267 	R 	10 	100 	0
chr1.853082 	chr1 	853082 	F 	13 	100 	0
chr1.853105 	chr1 	853105 	F 	13 	100 	0
chr1.853129 	chr1 	853129 	F 	13 	100 	0
chr1.853797 	chr1 	853797 	R 	15 	93.33 	6.67
chr1.853770 	chr1 	853770 	R 	16 	93.75 	6.25
chr1.853810 	chr1 	853810 	R 	16 	87.5 	12.5
chr1.853826 	chr1 	853826 	R 	15 	93.33 	6.67
chr1.853821 	chr1 	853821 	R 	15 	93.33 	6.67
chr1.853795 	chr1 	853795 	R 	16 	93.75 	6.25
chr1.854740 	chr1 	854740 	R 	20 	85 	15
chr1.854711 	chr1 	854711 	R 	20 	95 	5
chr1.854669 	chr1 	854669 	R 	19 	100 	0
chr1.855210 	chr1 	855210 	F 	17 	76.47 	23.53
chr1.855298 	chr1 	855298 	F 	15 	100 	0
chr1.855405 	chr1 	855405 	R 	13 	100 	0
chr1.855233 	chr1 	855233 	F 	16 	93.75 	6.25
chr1.856586 	chr1 	856586 	R 	26 	3.85 	96.15
chr1.856059 	chr1 	856059 	F 	26 	3.85 	96.15
chr1.856300 	chr1 	856300 	R 	36 	44.44 	55.56
chr1.856048 	chr1 	856048 	R 	10 	0 	100
chr1.856075 	chr1 	856075 	R 	10 	0 	100
chr1.856502 	chr1 	856502 	F 	39 	0 	100
chr1.856466 	chr1 	856466 	F 	36 	0 	100
chr1.856351 	chr1 	856351 	F 	17 	41.18 	58.82
chr1.856121 	chr1 	856121 	R 	10 	60 	40
chr1.856459 	chr1 	856459 	F 	39 	53.85 	46.15
chr1.856262 	chr1 	856262 	R 	36 	2.78 	97.22
chr1.855996 	chr1 	855996 	F 	35 	8.57 	91.43
chr1.856472 	chr1 	856472 	F 	31 	0 	100
chr1.856047 	chr1 	856047 	F 	32 	0 	100
chr1.856644 	chr1 	856644 	R 	26 	46.15 	53.85
chr1.855968 	chr1 	855968 	F 	35 	45.71 	54.29
chr1.856479 	chr1 	856479 	F 	39 	0 	100
chr1.856040 	chr1 	856040 	F 	28 	17.86 	82.14
chr1.856041 	chr1 	856041 	R 	10 	10 	90
chr1.856620 	chr1 	856620 	R 	26 	0 	100
chr1.856042 	chr1 	856042 	F 	30 	20 	80
chr1.856536 	chr1 	856536 	F 	38 	0 	100
chr1.856044 	chr1 	856044 	F 	30 	6.67 	93.33
chr1.856492 	chr1 	856492 	F 	34 	0 	100
chr1.856120 	chr1 	856120 	F 	10 	40 	60
chr1.856045 	chr1 	856045 	R 	10 	0 	100
chr1.856043 	chr1 	856043 	R 	10 	20 	80
chr1.856589 	chr1 	856589 	R 	26 	3.85 	96.15
chr1.856617 	chr1 	856617 	R 	26 	0 	100
chr1.856523 	chr1 	856523 	F 	38 	0 	100
chr1.860792 	chr1 	860792 	F 	34 	0 	100
chr1.860195 	chr1 	860195 	F 	24 	4.17 	95.83
chr1.860738 	chr1 	860738 	F 	35 	0 	100
chr1.860092 	chr1 	860092 	R 	42 	2.38 	97.62
chr1.860355 	chr1 	860355 	R 	17 	35.29 	64.71
chr1.860159 	chr1 	860159 	F 	24 	4.17 	95.83
chr1.860042 	chr1 	860042 	F 	37 	0 	100
chr1.860875 	chr1 	860875 	F 	49 	0 	100
chr1.860840 	chr1 	860840 	F 	49 	38.78 	61.22
chr1.860916 	chr1 	860916 	F 	49 	0 	100
chr1.860908 	chr1 	860908 	F 	47 	0 	100
chr1.860108 	chr1 	860108 	R 	50 	4 	96
chr1.860289 	chr1 	860289 	R 	17 	0 	100
chr1.860903 	chr1 	860903 	F 	47 	0 	100
chr1.860978 	chr1 	860978 	R 	47 	48.94 	51.06
chr1.860287 	chr1 	860287 	R 	17 	0 	100
chr1.860283 	chr1 	860283 	R 	17 	0 	100
chr1.860736 	chr1 	860736 	F 	35 	2.86 	97.14
chr1.860733 	chr1 	860733 	F 	26 	0 	100
chr1.860277 	chr1 	860277 	R 	17 	0 	100
chr1.860181 	chr1 	860181 	F 	24 	4.17 	95.83
chr1.860183 	chr1 	860183 	F 	23 	4.35 	95.65
chr1.860078 	chr1 	860078 	R 	45 	0 	100
chr1.860311 	chr1 	860311 	R 	17 	0 	100
chr1.860918 	chr1 	860918 	F 	46 	2.17 	97.83
chr1.860919 	chr1 	860919 	R 	47 	0 	100
chr1.860746 	chr1 	860746 	F 	31 	0 	100
chr1.860114 	chr1 	860114 	R 	50 	0 	100
chr1.859982 	chr1 	859982 	F 	37 	27.03 	72.97
chr1.860761 	chr1 	860761 	F 	32 	0 	100
chr1.860013 	chr1 	860013 	F 	37 	0 	100
chr1.860099 	chr1 	860099 	R 	50 	0 	100
chr1.860077 	chr1 	860077 	F 	35 	0 	100
chr1.860049 	chr1 	860049 	R 	32 	0 	100
chr1.860750 	chr1 	860750 	F 	33 	0 	100
chr1.860757 	chr1 	860757 	F 	35 	0 	100
chr1.860705 	chr1 	860705 	F 	32 	0 	100
chr1.860938 	chr1 	860938 	F 	44 	0 	100
chr1.860873 	chr1 	860873 	F 	48 	0 	100
chr1.860174 	chr1 	860174 	F 	21 	4.76 	95.24
chr1.860294 	chr1 	860294 	R 	17 	0 	100
chr1.860120 	chr1 	860120 	R 	49 	51.02 	48.98
chr1.860349 	chr1 	860349 	R 	17 	0 	100
chr1.860112 	chr1 	860112 	R 	49 	0 	100
chr1.860199 	chr1 	860199 	F 	24 	4.17 	95.83
chr1.859988 	chr1 	859988 	F 	37 	0 	100
chr1.860106 	chr1 	860106 	R 	50 	0 	100
chr1.860893 	chr1 	860893 	R 	45 	0 	100
chr1.860870 	chr1 	860870 	F 	45 	4.44 	95.56
chr1.860957 	chr1 	860957 	R 	47 	0 	100
chr1.860334 	chr1 	860334 	R 	15 	0 	100
chr1.860054 	chr1 	860054 	R 	44 	0 	100
chr1.860265 	chr1 	860265 	R 	17 	0 	100
chr1.860131 	chr1 	860131 	F 	24 	4.17 	95.83
chr1.860022 	chr1 	860022 	F 	37 	0 	100
chr1.860025 	chr1 	860025 	R 	29 	0 	100
chr1.860005 	chr1 	860005 	F 	37 	0 	100
chr1.860713 	chr1 	860713 	F 	34 	0 	100
chr1.860048 	chr1 	860048 	F 	37 	0 	100
chr1.860021 	chr1 	860021 	R 	11 	0 	100
chr1.860941 	chr1 	860941 	R 	46 	0 	100
chr1.860144 	chr1 	860144 	F 	24 	4.17 	95.83
chr1.860024 	chr1 	860024 	F 	36 	0 	100
chr1.860088 	chr1 	860088 	R 	50 	0 	100
chr1.860917 	chr1 	860917 	R 	47 	0 	100
chr1.860709 	chr1 	860709 	F 	33 	0 	100
chr1.860119 	chr1 	860119 	F 	24 	33.33 	66.67
chr1.860767 	chr1 	860767 	F 	23 	0 	100
chr1.860053 	chr1 	860053 	F 	37 	0 	100
chr1.860863 	chr1 	860863 	F 	47 	2.13 	97.87
chr1.860043 	chr1 	860043 	R 	47 	0 	100
chr1.860744 	chr1 	860744 	F 	29 	0 	100
chr1.860716 	chr1 	860716 	F 	33 	0 	100
chr1.860748 	chr1 	860748 	F 	35 	0 	100
chr1.860171 	chr1 	860171 	F 	23 	4.35 	95.65
chr1.860020 	chr1 	860020 	F 	37 	0 	100
chr1.860023 	chr1 	860023 	R 	35 	0 	100
chr1.860892 	chr1 	860892 	F 	49 	0 	100
chr1.860939 	chr1 	860939 	R 	47 	0 	100
chr1.860926 	chr1 	860926 	R 	39 	0 	100
chr1.860856 	chr1 	860856 	F 	46 	0 	100
chr1.860904 	chr1 	860904 	R 	46 	0 	100
chr1.860966 	chr1 	860966 	R 	44 	0 	100
chr1.860185 	chr1 	860185 	F 	23 	4.35 	95.65
chr1.860963 	chr1 	860963 	R 	44 	0 	100
chr1.860960 	chr1 	860960 	R 	47 	0 	100
chr1.860728 	chr1 	860728 	F 	32 	0 	100
chr1.860711 	chr1 	860711 	F 	34 	0 	100
chr1.860909 	chr1 	860909 	R 	47 	2.13 	97.87
chr1.860147 	chr1 	860147 	F 	21 	4.76 	95.24
chr1.860699 	chr1 	860699 	F 	35 	62.86 	37.14
chr1.860152 	chr1 	860152 	F 	24 	4.17 	95.83
chr1.860764 	chr1 	860764 	F 	32 	0 	100
chr1.860948 	chr1 	860948 	R 	47 	0 	100
chr1.860925 	chr1 	860925 	F 	47 	0 	100
chr1.860008 	chr1 	860008 	F 	36 	2.78 	97.22
chr1.860320 	chr1 	860320 	R 	16 	0 	100
chr1.860973 	chr1 	860973 	R 	45 	0 	100
chr1.861133 	chr1 	861133 	R 	13 	7.69 	92.31
chr1.861297 	chr1 	861297 	F 	31 	9.68 	90.32
chr1.861195 	chr1 	861195 	F 	31 	51.61 	48.39
chr1.861250 	chr1 	861250 	F 	32 	15.62 	84.38
chr1.861218 	chr1 	861218 	F 	33 	51.52 	48.48
chr1.861178 	chr1 	861178 	R 	13 	7.69 	92.31
chr1.861591 	chr1 	861591 	R 	13 	0 	100
chr1.861287 	chr1 	861287 	F 	30 	10 	90
chr1.861152 	chr1 	861152 	F 	35 	2.86 	97.14
chr1.861318 	chr1 	861318 	R 	40 	2.5 	97.5
chr1.861361 	chr1 	861361 	R 	39 	5.13 	94.87
chr1.861208 	chr1 	861208 	R 	13 	7.69 	92.31
chr1.861140 	chr1 	861140 	R 	13 	7.69 	92.31
chr1.861265 	chr1 	861265 	F 	32 	15.62 	84.38
chr1.861538 	chr1 	861538 	R 	10 	50 	50
chr1.861099 	chr1 	861099 	F 	36 	58.33 	41.67
chr1.861142 	chr1 	861142 	R 	13 	7.69 	92.31
chr1.861177 	chr1 	861177 	F 	32 	3.12 	96.88
chr1.861136 	chr1 	861136 	R 	13 	7.69 	92.31
chr1.861135 	chr1 	861135 	F 	34 	0 	100
chr1.861298 	chr1 	861298 	R 	40 	2.5 	97.5
chr1.861603 	chr1 	861603 	R 	11 	63.64 	36.36
chr1.861354 	chr1 	861354 	R 	39 	5.13 	94.87
chr1.861288 	chr1 	861288 	R 	39 	0 	100
chr1.861153 	chr1 	861153 	R 	13 	7.69 	92.31
chr1.861196 	chr1 	861196 	R 	13 	7.69 	92.31
chr1.861159 	chr1 	861159 	F 	33 	0 	100
chr1.861369 	chr1 	861369 	R 	39 	41.03 	58.97
